repo_name,observation_date,stars,forks,open_issues
astropy/ccdproc,2023-11-01 00:31:35.980825,86,84,54
astropy/pyvo,2023-11-01 00:31:35.980820,67,48,64
astropy/SPISEA,2023-11-01 00:31:35.980822,59,29,16
astropy/package-template,2023-11-01 00:31:35.980792,59,63,0
astropy/astropy.github.com,2023-11-01 00:31:35.980790,38,98,50
astropy/pyregion,2023-11-01 00:31:35.980779,37,36,10
astropy/astropy-APEs,2023-11-01 00:31:35.980826,31,32,13
astropy/astropy-helpers,2023-11-01 00:31:35.980828,28,42,0
astropy/photutils-datasets,2023-11-01 00:31:35.980832,19,20,2
astropy/montage-wrapper,2023-11-01 00:31:35.980806,17,17,11
astropy/coordinates-benchmark,2023-11-01 00:31:35.980808,11,12,13
astropy/imageutils,2023-11-01 00:31:35.980839,9,17,15
astropy/astropy-api,2023-11-01 00:31:35.980803,8,17,6
astropy/old-astropy-website-src,2023-11-01 00:31:35.980800,7,14,1
astropy/astropy-benchmarks,2023-11-01 00:31:35.980829,6,24,10
astropy/astropy-v0.2-paper,2023-11-01 00:31:35.980812,3,11,1
astropy/astropy4scipy2014,2023-11-01 00:31:35.980838,3,7,5
astropy/astropy-logo,2023-11-01 00:31:35.980805,2,11,3
astropy/astropy-jenkins,2023-11-01 00:31:35.980817,2,5,1
astropy/astropy-notebooks,2023-11-01 00:31:35.980841,2,4,2
astropy/astroquery-blog,2023-11-01 00:31:35.980823,1,0,1
astropy/wheels,2023-11-01 00:31:35.980815,1,0,1
astropy/FSA,2023-11-01 00:31:35.980831,1,1,1
astropy/conda-recipes-old,2023-11-01 00:31:35.980834,1,3,2
