,repo_name,commits,committers,month
118,astropy/specutils,9,4,2021-06-23 16:26:27
119,astropy/specutils,38,6,2021-07-23 16:26:27
120,astropy/specutils,34,7,2021-08-22 16:26:27
121,astropy/specutils,31,10,2021-09-21 16:26:27
122,astropy/specutils,18,3,2021-10-21 16:26:27
123,astropy/specutils,20,1,2021-11-20 16:26:27
124,astropy/specutils,8,4,2021-12-20 16:26:27
125,astropy/specutils,21,4,2022-01-19 16:26:27
126,astropy/specutils,8,4,2022-02-18 16:26:27
127,astropy/specutils,10,5,2022-03-20 16:26:27
128,astropy/specutils,4,3,2022-04-19 16:26:27
129,astropy/specutils,2,2,2022-05-19 16:26:27
130,astropy/specutils,6,2,2022-06-18 16:26:27
131,astropy/specutils,8,5,2022-07-18 16:26:27
132,astropy/specutils,9,4,2022-08-17 16:26:27
133,astropy/specutils,5,2,2022-09-16 16:26:27
134,astropy/specutils,7,2,2022-10-16 16:26:27
135,astropy/specutils,9,3,2022-11-15 16:26:27
136,astropy/specutils,23,6,2022-12-15 16:26:27
137,astropy/specutils,0,1,2023-01-14 16:26:27
138,astropy/specutils,48,6,2023-02-13 16:26:27
139,astropy/specutils,16,5,2023-03-15 16:26:27
140,astropy/specutils,2,2,2023-04-14 16:26:27
141,astropy/specutils,6,4,2023-05-14 16:26:27
142,astropy/specutils,3,1,2023-06-13 16:26:27
143,astropy/specutils,3,3,2023-07-13 16:26:27
144,astropy/specutils,3,1,2023-08-12 16:26:27
145,astropy/specutils,10,2,2023-09-11 16:26:27
