,repo_name,commits,committers,month
109,astropy/ccdproc,0,1,2020-12-04 20:58:14
110,astropy/ccdproc,10,2,2021-01-03 20:58:14
111,astropy/ccdproc,1,1,2021-02-02 20:58:14
112,astropy/ccdproc,37,4,2021-03-04 20:58:14
113,astropy/ccdproc,4,2,2021-04-03 20:58:14
114,astropy/ccdproc,40,2,2021-05-03 20:58:14
115,astropy/ccdproc,0,1,2021-06-02 20:58:14
116,astropy/ccdproc,0,1,2021-07-02 20:58:14
117,astropy/ccdproc,0,1,2021-08-01 20:58:14
118,astropy/ccdproc,0,1,2021-08-31 20:58:14
119,astropy/ccdproc,2,2,2021-09-30 20:58:14
120,astropy/ccdproc,23,1,2021-10-30 20:58:14
121,astropy/ccdproc,21,1,2021-11-29 20:58:14
122,astropy/ccdproc,10,4,2021-12-29 20:58:14
123,astropy/ccdproc,3,1,2022-01-28 20:58:14
124,astropy/ccdproc,0,1,2022-02-27 20:58:14
125,astropy/ccdproc,0,1,2022-03-29 20:58:14
126,astropy/ccdproc,1,1,2022-04-28 20:58:14
127,astropy/ccdproc,0,1,2022-05-28 20:58:14
128,astropy/ccdproc,0,1,2022-06-27 20:58:14
129,astropy/ccdproc,2,2,2022-07-27 20:58:14
130,astropy/ccdproc,3,1,2022-08-26 20:58:14
131,astropy/ccdproc,3,2,2022-09-25 20:58:14
132,astropy/ccdproc,4,2,2022-10-25 20:58:14
133,astropy/ccdproc,1,1,2022-11-24 20:58:14
134,astropy/ccdproc,0,1,2022-12-24 20:58:14
135,astropy/ccdproc,1,1,2023-01-23 20:58:14
136,astropy/ccdproc,0,1,2023-02-22 20:58:14
137,astropy/ccdproc,0,1,2023-03-24 20:58:14
138,astropy/ccdproc,0,1,2023-04-23 20:58:14
139,astropy/ccdproc,15,2,2023-05-23 20:58:14
140,astropy/ccdproc,0,1,2023-06-22 20:58:14
141,astropy/ccdproc,0,1,2023-07-22 20:58:14
142,astropy/ccdproc,0,1,2023-08-21 20:58:14
143,astropy/ccdproc,0,1,2023-09-20 20:58:14
