,repo_name,commits,committers,month
113,astropy/astroquery,23,7,2021-04-03 20:58:14
114,astropy/astroquery,67,7,2021-05-03 20:58:14
115,astropy/astroquery,104,8,2021-06-02 20:58:14
116,astropy/astroquery,63,5,2021-07-02 20:58:14
117,astropy/astroquery,37,5,2021-08-01 20:58:14
118,astropy/astroquery,63,7,2021-08-31 20:58:14
119,astropy/astroquery,42,7,2021-09-30 20:58:14
120,astropy/astroquery,155,10,2021-10-30 20:58:14
121,astropy/astroquery,49,9,2021-11-29 20:58:14
122,astropy/astroquery,57,9,2021-12-29 20:58:14
123,astropy/astroquery,162,11,2022-01-28 20:58:14
124,astropy/astroquery,170,16,2022-02-27 20:58:14
125,astropy/astroquery,103,11,2022-03-29 20:58:14
126,astropy/astroquery,88,10,2022-04-28 20:58:14
127,astropy/astroquery,62,9,2022-05-28 20:58:14
128,astropy/astroquery,33,7,2022-06-27 20:58:14
129,astropy/astroquery,66,9,2022-07-27 20:58:14
130,astropy/astroquery,113,11,2022-08-26 20:58:14
131,astropy/astroquery,78,9,2022-09-25 20:58:14
132,astropy/astroquery,78,9,2022-10-25 20:58:14
133,astropy/astroquery,105,14,2022-11-24 20:58:14
134,astropy/astroquery,67,7,2022-12-24 20:58:14
135,astropy/astroquery,84,6,2023-01-23 20:58:14
136,astropy/astroquery,45,8,2023-02-22 20:58:14
137,astropy/astroquery,42,6,2023-03-24 20:58:14
138,astropy/astroquery,33,6,2023-04-23 20:58:14
139,astropy/astroquery,30,7,2023-05-23 20:58:14
140,astropy/astroquery,70,10,2023-06-22 20:58:14
141,astropy/astroquery,80,10,2023-07-22 20:58:14
142,astropy/astroquery,25,2,2023-08-21 20:58:14
143,astropy/astroquery,41,4,2023-09-20 20:58:14
